sample_id,alignment_count,aligned,partially_aligned,relevant_unresolved,internal_unresolved,aligned_paths,runtime_only_paths,instruction_only_paths
BV3-0601,1407,399,0,552,456,0,1,1
BV3-0602,1000,270,0,282,448,0,1,1
BV3-0603,867,252,0,185,430,0,8,1
BV3-0604,867,252,3,182,430,0,8,1
BV3-0605,1250,328,0,481,441,0,2,1
BV3-0606,867,252,0,185,430,0,8,1
BV3-0607,1027,252,0,320,455,0,1,1
BV3-0608,928,239,1,251,437,0,1,1
BV3-0609,867,252,3,182,430,0,8,1
BV3-0610,1367,374,0,550,443,0,2,1
BV3-0611,1027,253,0,335,439,0,2,1
BV3-0612,1342,373,11,514,444,0,1,1
BV3-0613,1407,399,0,552,456,0,1,3
BV3-0614,1470,434,0,581,455,0,1,1
BV3-0615,1427,411,0,561,455,0,1,1
BV3-0616,1171,319,7,407,438,0,2,1
BV3-0617,757,217,0,109,431,0,12,1
BV3-0618,1019,252,0,328,439,0,2,1
BV3-0619,867,252,3,182,430,0,8,1
BV3-0620,1366,371,0,539,456,0,1,1
BV3-0621,1225,334,9,440,442,0,1,1
BV3-0622,859,252,3,174,430,0,8,1
BV3-0623,1175,320,7,410,438,0,2,1
BV3-0624,1014,249,0,326,439,0,1,1
BV3-0625,1305,358,7,499,441,0,1,1
BV3-0626,763,217,0,102,444,0,9,3
BV3-0627,1390,396,0,539,455,0,1,1
BV3-0628,1316,364,0,497,455,0,1,1
BV3-0629,1058,311,7,292,448,0,1,1
BV3-0630,987,249,0,300,438,0,2,1
BV3-0631,867,252,0,185,430,0,8,1
BV3-0632,867,252,3,182,430,0,8,1
BV3-0633,1003,248,0,302,453,0,1,1
BV3-0634,1077,286,5,347,439,0,1,1
BV3-0635,1043,255,0,348,440,0,2,1
BV3-0636,1196,330,0,414,452,0,2,1
BV3-0637,735,213,0,93,429,0,5,1
BV3-0638,1177,319,7,412,439,0,1,1
BV3-0639,1548,472,0,621,455,0,1,3
BV3-0640,1499,437,0,606,456,0,1,1
BV3-0641,1550,472,0,623,455,0,1,1
BV3-0642,867,252,0,185,430,0,8,1
BV3-0643,1178,321,7,412,438,0,2,1
BV3-0644,1196,323,7,427,439,0,2,1
BV3-0645,1062,300,7,319,436,0,26,1
BV3-0646,993,246,0,295,452,0,1,1
BV3-0647,927,238,1,252,436,0,1,1
BV3-0648,859,252,0,177,430,0,8,1
BV3-0649,1120,310,7,366,437,0,1,1
BV3-0650,1348,370,0,537,441,0,1,1
BV3-0651,1341,371,15,515,440,0,1,1
BV3-0653,1323,362,0,506,455,0,1,1
BV3-0654,1192,323,0,416,453,0,1,1
BV3-0655,867,252,0,185,430,0,8,1
BV3-0656,1011,252,0,320,439,0,2,1
BV3-0657,1359,372,0,545,442,0,1,1
BV3-0658,1190,345,11,397,437,0,33,1
BV3-0659,1011,248,0,310,453,0,1,1
BV3-0660,1212,332,9,431,440,0,1,1
BV3-0661,867,252,0,185,430,0,8,1
BV3-0662,1124,311,10,366,437,0,1,1
BV3-0663,1317,338,0,536,443,0,2,1
BV3-0664,867,252,0,185,430,0,8,1
BV3-0665,883,254,3,182,444,0,8,3
BV3-0666,883,254,3,182,444,0,8,1
BV3-0667,1078,307,5,317,449,0,27,1
BV3-0668,1431,436,17,538,440,0,1,1
BV3-0669,1025,302,5,286,432,0,22,1
BV3-0670,757,217,1,108,431,0,12,1
BV3-0671,1192,326,5,409,452,0,1,1
BV3-0672,1077,283,5,351,438,0,1,1
BV3-0673,1175,320,7,410,438,0,2,1
BV3-0675,867,252,0,185,430,0,8,1
BV3-0676,867,252,0,185,430,0,8,1
BV3-0677,1144,315,7,370,452,0,1,3
BV3-0678,883,254,3,182,444,0,8,1
BV3-0679,773,219,1,108,445,0,12,1
BV3-0680,849,250,3,167,429,0,5,1
BV3-0681,867,252,3,182,430,0,8,1
BV3-0682,867,252,3,182,430,0,8,1
BV3-0683,883,254,3,182,444,0,8,1
BV3-0684,859,252,3,174,430,0,8,1
BV3-0685,1041,255,0,346,440,0,2,1
BV3-0686,1332,370,0,522,440,0,2,1
BV3-0687,1253,329,0,483,441,0,2,1
BV3-0688,992,249,0,305,438,0,2,1
BV3-0689,865,252,3,167,443,0,5,1
BV3-0690,1312,389,13,457,453,0,1,1
BV3-0691,773,219,1,108,445,0,12,1
BV3-0692,867,252,3,182,430,0,8,1
BV3-0693,757,217,1,108,431,0,12,1
BV3-0694,877,254,3,189,431,0,11,1
BV3-0695,1264,360,13,439,452,0,40,1
BV3-0696,930,239,1,253,437,0,1,1
BV3-0697,1365,425,0,504,436,0,34,1
BV3-0698,892,255,3,203,431,0,11,1
BV3-0699,1289,333,0,512,444,0,1,1
BV3-0700,1045,255,0,350,440,0,2,1
BV3-0701,893,256,3,189,445,0,11,3
BV3-0702,1257,374,13,419,451,0,29,1
BV3-0703,1327,392,13,468,454,0,1,1
BV3-0704,867,252,3,182,430,0,8,1
BV3-0706,869,254,3,181,431,0,11,1
BV3-0707,883,254,3,182,444,0,8,1
BV3-0708,1045,280,3,325,437,0,1,1
BV3-0709,1237,328,0,468,441,0,2,1
BV3-0710,877,254,3,189,431,0,11,1
BV3-0711,877,254,3,189,431,0,11,1
BV3-0712,1166,317,7,404,438,0,1,1
BV3-0713,865,252,3,167,443,0,5,3
BV3-0714,1239,372,13,404,450,0,26,1
BV3-0715,1109,310,7,342,450,0,1,1
BV3-0716,867,252,3,182,430,0,8,1
BV3-0717,924,262,3,227,432,0,18,1
BV3-0718,849,250,3,167,429,0,5,1
BV3-0719,883,254,3,182,444,0,8,1
BV3-0720,757,217,1,108,431,0,12,1
BV3-0721,867,252,0,185,430,0,8,1
BV3-0722,867,252,3,182,430,0,8,1
BV3-0723,1325,392,15,479,439,0,43,1
BV3-0724,1371,406,19,508,438,0,1,1
BV3-0725,1333,395,13,487,438,0,1,1
BV3-0726,1623,472,0,708,443,0,2,1
BV3-0727,1450,445,15,552,438,0,1,1
BV3-0728,867,252,3,182,430,0,8,1
BV3-0729,757,217,0,109,431,0,12,1
BV3-0730,887,234,1,217,435,0,1,1
BV3-0731,1201,323,7,432,439,0,2,1
BV3-0732,867,252,3,182,430,0,8,1
BV3-0733,1055,282,5,331,437,0,1,1
BV3-0734,1192,320,7,426,439,0,1,1
BV3-0735,918,237,1,244,436,0,1,1
BV3-0736,757,217,1,108,431,0,12,1
BV3-0737,867,252,3,182,430,0,8,1
BV3-0738,1458,428,17,571,442,0,1,1
BV3-0739,1067,284,5,340,438,0,1,1
BV3-0740,867,252,3,182,430,0,8,1
BV3-0741,1451,435,17,559,440,0,1,1
BV3-0742,1026,301,5,286,434,0,24,1
BV3-0743,1161,322,5,396,438,0,1,1
BV3-0744,1015,272,7,300,436,0,26,1
BV3-0745,898,236,1,226,435,0,2,1
BV3-0746,735,213,1,92,429,0,5,1
BV3-0747,849,250,3,167,429,0,5,1
BV3-0748,914,238,1,238,437,0,1,1
BV3-0749,867,252,3,182,430,0,8,1
BV3-0750,1093,307,7,343,436,0,1,1
BV3-0751,877,254,3,189,431,0,11,1
BV3-0752,867,252,3,182,430,0,8,1
BV3-0753,867,252,3,182,430,0,8,1
BV3-0754,928,239,1,251,437,0,1,1
BV3-0755,1212,330,9,433,440,0,1,1
BV3-0756,867,252,3,182,430,0,8,1
BV3-0757,877,254,3,189,431,0,11,1
BV3-0758,757,217,1,108,431,0,12,1
BV3-0759,1228,362,7,421,438,0,1,1
BV3-0760,896,234,1,226,435,0,1,1
BV3-0761,757,217,1,108,431,0,12,1
BV3-0762,1321,373,7,500,441,0,1,1
BV3-0763,1145,315,7,385,438,0,1,1
BV3-0764,1219,323,0,456,440,0,1,1
BV3-0765,757,217,0,109,431,0,12,1
BV3-0766,1039,252,0,347,440,0,1,1
BV3-0767,1206,301,0,463,442,0,2,1
BV3-0768,1046,254,0,351,441,0,1,1
BV3-0769,1397,398,0,558,441,0,1,1
BV3-0770,867,252,0,185,430,0,8,1
BV3-0771,1049,254,0,354,441,0,1,1
BV3-0772,995,247,0,310,438,0,1,1
BV3-0773,1046,254,0,351,441,0,1,1
BV3-0774,1126,291,0,397,438,0,2,1
BV3-0775,1018,250,0,329,439,0,1,1
BV3-0776,884,255,0,198,431,0,11,1
BV3-0777,1036,252,0,344,440,0,1,1
BV3-0778,1045,253,0,352,440,0,1,1
BV3-0779,1028,253,0,336,439,0,2,1
BV3-0780,1241,325,0,475,441,0,1,1
BV3-0781,1001,250,0,313,438,0,2,1
BV3-0782,1019,250,0,330,439,0,1,1
BV3-0783,1258,329,0,486,443,0,1,1
BV3-0784,1019,252,0,328,439,0,2,1
BV3-0785,867,252,0,185,430,0,8,1
BV3-0786,1233,372,13,411,437,0,29,1
BV3-0787,745,215,1,99,430,0,8,1
BV3-0788,757,217,1,108,431,0,12,1
BV3-0789,757,217,1,108,431,0,12,1
BV3-0790,1818,584,29,762,443,0,1,1
BV3-0791,1074,302,7,328,437,0,29,1
BV3-0792,1152,341,11,364,436,0,26,1
BV3-0793,1195,344,11,401,439,0,35,1
BV3-0794,757,217,1,108,431,0,12,1
BV3-0795,867,252,3,182,430,0,8,1
BV3-0796,1035,304,5,293,433,0,25,1
BV3-0797,755,217,1,106,431,0,11,1
BV3-0798,867,252,3,182,430,0,8,1
BV3-0799,1264,364,7,455,438,0,1,1
BV3-0800,1339,409,15,477,438,0,36,1
