sample_id,alignment_count,aligned,partially_aligned,relevant_unresolved,internal_unresolved,aligned_paths,runtime_only_paths,instruction_only_paths
BV3-0117,955,247,0,272,436,0,2,1
BV3-0118,972,249,0,286,437,0,2,1
BV3-0119,928,241,1,251,435,0,2,1
BV3-0120,909,243,1,217,448,1,20,1
BV3-0121,757,217,0,109,431,0,12,3
BV3-0122,1748,578,0,731,439,0,55,1
BV3-0123,983,251,0,294,438,0,2,1
BV3-0124,893,241,1,217,434,1,20,1
BV3-0126,1705,542,0,707,456,0,1,3
BV3-0127,1517,449,0,612,456,0,1,1
BV3-0128,1243,329,7,452,455,0,1,1
BV3-0129,1375,381,0,551,443,0,2,1
BV3-0130,745,215,0,100,430,0,8,1
BV3-0131,1260,317,0,498,445,0,2,1
BV3-0132,1004,255,2,309,438,2,39,1
BV3-0133,1689,520,0,711,458,0,1,1
BV3-0134,1096,285,2,371,438,2,39,0
BV3-0135,1025,255,0,331,439,0,2,1
BV3-0136,977,252,2,286,437,2,36,1
BV3-0137,1260,334,0,485,441,0,2,1
BV3-0138,954,247,0,271,436,0,2,1
BV3-0139,1322,370,0,498,454,0,1,3
BV3-0140,1439,390,1,588,460,1,60,2
BV3-0141,1202,326,0,422,454,0,1,1
BV3-0142,1610,520,0,651,439,0,46,1
BV3-0143,853,229,2,189,433,0,1,1
BV3-0144,1003,255,2,308,438,2,39,1
BV3-0145,992,252,0,302,438,0,2,1
BV3-0146,937,239,1,247,450,0,1,1
BV3-0147,1368,370,2,553,443,2,54,1
BV3-0148,977,252,2,286,437,2,36,1
BV3-0149,973,249,0,287,437,0,2,1
BV3-0150,1665,481,0,739,445,0,2,1
BV3-0151,867,252,0,185,430,0,8,1
BV3-0152,1207,304,5,442,456,0,1,4
BV3-0153,1550,474,0,621,455,0,1,1
BV3-0154,1363,399,0,510,454,0,1,1
BV3-0155,1207,326,0,442,439,0,2,1
BV3-0156,1014,257,2,316,439,2,42,1
BV3-0157,1225,330,0,455,440,0,2,1
BV3-0158,1502,448,0,598,456,0,1,1
BV3-0159,1000,252,2,308,438,2,39,0
BV3-0160,1023,257,2,325,439,2,42,1
BV3-0161,904,238,1,231,434,0,2,1
BV3-0162,1636,502,0,692,442,0,2,1
BV3-0163,757,217,0,109,431,0,12,1
BV3-0164,1259,341,9,469,440,0,2,1
BV3-0165,1294,356,0,498,440,0,2,1
BV3-0166,1480,460,0,567,453,0,1,1
BV3-0167,1218,333,2,403,480,2,45,1
BV3-0168,978,252,2,287,437,2,36,1
BV3-0169,999,252,0,309,438,0,2,1
BV3-0170,1949,621,0,882,446,0,2,1
BV3-0171,954,247,0,271,436,0,2,1
BV3-0172,1002,276,1,277,448,1,20,1
BV3-0173,1542,443,2,655,442,2,52,0
BV3-0174,973,249,0,287,437,0,2,1
BV3-0175,1240,325,0,475,440,0,2,1
BV3-0176,1014,257,2,316,439,2,42,2
BV3-0177,955,247,0,272,436,0,2,1
BV3-0178,1009,254,0,316,439,0,2,1
BV3-0179,1090,283,2,367,438,2,39,0
BV3-0180,1308,345,2,519,442,2,52,1
BV3-0181,1001,254,2,306,439,2,42,0
BV3-0182,1033,259,2,332,440,2,45,1
BV3-0183,757,217,0,109,431,0,12,3
BV3-0184,1005,255,2,310,438,2,39,1
BV3-0185,757,217,0,109,431,0,12,5
BV3-0186,747,215,0,102,430,0,9,3
BV3-0187,737,213,0,95,429,0,6,3
BV3-0188,737,213,0,95,429,0,6,6
BV3-0189,737,213,0,95,429,0,6,6
BV3-0190,1000,252,2,308,438,2,39,0
BV3-0191,1367,379,2,526,460,2,46,0
BV3-0192,1005,255,2,310,438,2,39,1
BV3-0193,757,217,0,109,431,0,12,3
BV3-0194,777,227,0,104,446,0,8,5
BV3-0195,1010,254,2,315,439,2,42,0
BV3-0196,1005,255,2,310,438,2,39,1
BV3-0197,1045,258,2,346,439,2,42,0
BV3-0198,1007,255,2,312,438,2,39,0
BV3-0199,1199,330,2,404,463,2,42,0
BV3-0200,1005,255,2,310,438,2,39,1
BV3-0201,978,252,0,289,437,0,2,1
BV3-0202,757,217,0,109,431,0,12,1
BV3-0203,1441,388,0,609,444,0,2,2
BV3-0204,1017,256,1,321,439,0,2,1
BV3-0205,1352,374,0,522,456,0,1,3
BV3-0206,1163,317,7,387,452,0,1,1
BV3-0207,1200,328,0,419,453,0,1,1
BV3-0208,973,249,0,287,437,0,2,1
BV3-0209,1615,480,19,672,444,0,1,1
BV3-0210,1030,258,0,333,439,0,2,1
BV3-0211,982,251,0,293,438,0,2,1
BV3-0212,1769,573,0,740,456,0,1,1
BV3-0213,1004,255,2,309,438,2,39,1
BV3-0214,972,249,0,286,437,0,2,1
BV3-0215,852,239,0,165,448,0,1,1
BV3-0216,1004,255,0,311,438,0,2,1
BV3-0217,992,253,0,300,439,0,2,1
BV3-0218,1225,324,7,440,454,0,1,2
BV3-0219,1002,276,0,278,448,0,1,1
BV3-0220,1227,329,0,444,454,0,1,1
BV3-0221,757,217,0,109,431,0,12,1
BV3-0222,977,252,0,288,437,0,2,1
BV3-0223,1208,327,0,442,439,0,2,1
BV3-0224,938,243,1,258,436,0,2,1
BV3-0225,1624,502,0,666,456,0,1,1
BV3-0226,757,217,0,109,431,0,12,5
BV3-0227,1136,294,5,398,439,0,2,1
BV3-0228,977,252,0,288,437,0,2,1
BV3-0229,1004,255,0,311,438,0,2,1
BV3-0230,747,215,0,102,430,0,9,1
