sample_id,alignment_count,aligned,partially_aligned,relevant_unresolved,internal_unresolved,aligned_paths,runtime_only_paths,instruction_only_paths
PB-128,1375,381,0,551,443,0,2,1
PB-129,745,215,0,100,430,0,8,1
PB-130,1260,317,0,498,445,0,2,1
PB-131,1004,255,2,309,438,2,39,1
PB-132,1689,520,0,711,458,0,1,1
PB-133,1096,285,2,371,438,2,39,0
PB-134,1025,255,0,331,439,0,2,1
PB-135,977,252,2,286,437,2,36,1
PB-136,1260,334,0,485,441,0,2,1
PB-137,954,247,0,271,436,0,2,1
PB-138,1322,370,0,498,454,0,1,3
PB-139,1439,390,1,588,460,1,60,2
PB-140,1202,326,0,422,454,0,1,1
PB-141,1610,520,0,651,439,0,46,1
PB-142,853,229,2,189,433,0,1,1
PB-143,1003,255,2,308,438,2,39,1
PB-144,992,252,0,302,438,0,2,1
PB-145,937,239,1,247,450,0,1,1
PB-146,1368,370,2,553,443,2,54,1
PB-147,977,252,2,286,437,2,36,1
PB-148,973,249,0,287,437,0,2,1
PB-149,1665,481,0,739,445,0,2,1
PB-150,867,252,0,185,430,0,8,1
PB-151,1207,304,5,442,456,0,1,4
PB-152,1550,474,0,621,455,0,1,1
PB-153,1363,399,0,510,454,0,1,1
PB-154,1207,326,0,442,439,0,2,1
PB-155,1014,257,2,316,439,2,42,1
PB-156,1225,330,0,455,440,0,2,1
PB-157,1502,448,0,598,456,0,1,1
PB-158,1000,252,2,308,438,2,39,0
PB-159,1023,257,2,325,439,2,42,1
PB-160,904,238,1,231,434,0,2,1
PB-161,1636,502,0,692,442,0,2,1
PB-162,757,217,0,109,431,0,12,1
PB-163,1259,341,9,469,440,0,2,1
PB-164,1294,356,0,498,440,0,2,1
PB-165,1480,460,0,567,453,0,1,1
PB-166,1218,333,2,403,480,2,45,1
PB-167,978,252,2,287,437,2,36,1
PB-168,999,252,0,309,438,0,2,1
PB-169,1949,621,0,882,446,0,2,1
PB-170,954,247,0,271,436,0,2,1
PB-171,1002,276,1,277,448,1,20,1
PB-172,1542,443,2,655,442,2,52,0
PB-173,973,249,0,287,437,0,2,1
PB-174,1240,325,0,475,440,0,2,1
PB-175,1014,257,2,316,439,2,42,2
PB-176,955,247,0,272,436,0,2,1
PB-177,1009,254,0,316,439,0,2,1
PB-178,1090,283,2,367,438,2,39,0
PB-179,1308,345,2,519,442,2,52,1
PB-180,1001,254,2,306,439,2,42,0
PB-181,1033,259,2,332,440,2,45,1
PB-182,757,217,0,109,431,0,12,3
PB-183,1005,255,2,310,438,2,39,1
PB-184,757,217,0,109,431,0,12,5
PB-185,747,215,0,102,430,0,9,3
PB-186,737,213,0,95,429,0,6,3
PB-187,737,213,0,95,429,0,6,6
PB-188,737,213,0,95,429,0,6,6
PB-189,1000,252,2,308,438,2,39,0
PB-190,1367,379,2,526,460,2,46,0
PB-191,1005,255,2,310,438,2,39,1
PB-192,757,217,0,109,431,0,12,3
PB-193,777,227,0,104,446,0,8,5
PB-194,1010,254,2,315,439,2,42,0
PB-195,1005,255,2,310,438,2,39,1
PB-196,1045,258,2,346,439,2,42,0
PB-197,1007,255,2,312,438,2,39,0
PB-198,1199,330,2,404,463,2,42,0
PB-199,1005,255,2,310,438,2,39,1
PB-200,978,252,0,289,437,0,2,1
PB-201,757,217,0,109,431,0,12,1
PB-202,1441,388,0,609,444,0,2,2
PB-203,1017,256,1,321,439,0,2,1
PB-204,1352,374,0,522,456,0,1,3
PB-205,1163,317,7,387,452,0,1,1
PB-206,1200,328,0,419,453,0,1,1
PB-207,973,249,0,287,437,0,2,1
PB-208,1615,480,19,672,444,0,1,1
PB-209,1030,258,0,333,439,0,2,1
PB-210,982,251,0,293,438,0,2,1
PB-211,1769,573,0,740,456,0,1,1
PB-212,1004,255,2,309,438,2,39,1
PB-213,972,249,0,286,437,0,2,1
PB-214,852,239,0,165,448,0,1,1
PB-215,1004,255,0,311,438,0,2,1
PB-216,992,253,0,300,439,0,2,1
PB-217,1225,324,7,440,454,0,1,2
PB-218,1002,276,0,278,448,0,1,1
PB-219,1227,329,0,444,454,0,1,1
PB-220,757,217,0,109,431,0,12,1
PB-221,977,252,0,288,437,0,2,1
PB-222,1208,327,0,442,439,0,2,1
PB-223,938,243,1,258,436,0,2,1
PB-224,1624,502,0,666,456,0,1,1
PB-225,757,217,0,109,431,0,12,5
PB-226,1136,294,5,398,439,0,2,1
PB-227,977,252,0,288,437,0,2,1
PB-228,1004,255,0,311,438,0,2,1
PB-229,747,215,0,102,430,0,9,1
PB-230,753,215,0,95,443,0,6,4
PB-231,753,215,0,95,443,0,6,1
PB-232,937,239,1,247,450,0,1,1
PB-233,997,256,0,302,439,0,2,1
PB-234,1044,258,0,347,439,0,2,1
PB-235,877,235,1,208,433,0,2,1
PB-236,1004,255,0,311,438,0,2,1
PB-237,1480,463,0,564,453,0,1,1
PB-238,1004,255,2,309,438,2,39,2
PB-239,1004,255,0,311,438,0,2,1
PB-240,757,217,0,109,431,0,12,1
PB-241,1004,255,0,311,438,0,2,1
PB-242,977,252,1,287,437,0,2,1
PB-243,1461,441,0,566,454,0,1,3
PB-244,1452,412,0,582,458,0,1,1
PB-245,973,249,0,287,437,0,2,1
PB-246,977,252,0,288,437,0,2,2
PB-247,977,252,0,288,437,0,2,1
PB-248,1088,304,0,349,435,0,1,1
PB-249,1190,320,7,410,453,0,1,1
PB-250,1025,259,2,324,440,2,45,1
PB-251,1186,324,0,424,438,0,2,1
PB-252,904,238,1,231,434,0,2,1
PB-253,1093,273,0,380,440,0,2,1
PB-254,955,247,0,272,436,0,2,1
PB-255,997,273,0,276,448,0,1,3
PB-256,1243,334,0,454,455,0,1,1
PB-257,1338,393,0,492,453,0,1,1
PB-258,1209,326,0,444,439,0,2,1
PB-259,978,252,0,289,437,0,2,1
PB-260,1211,328,0,443,440,0,2,1
PB-261,1173,320,7,408,438,0,2,1
PB-262,773,219,0,109,445,0,12,1
PB-263,1108,287,2,381,438,2,39,0
PB-264,1201,326,0,436,439,0,2,1
PB-265,977,252,0,288,437,0,2,1
PB-266,1005,255,0,312,438,0,2,1
PB-267,940,250,1,240,449,0,2,1
PB-268,1812,566,0,786,460,0,1,4
PB-269,1338,393,0,492,453,0,1,1
PB-270,1190,320,7,410,453,0,1,1
PB-271,977,252,0,288,437,0,2,1
PB-272,978,252,0,289,437,0,2,1
PB-273,1153,308,0,386,459,0,2,1
PB-274,1006,256,0,311,439,0,2,1
PB-275,1815,588,0,772,455,0,1,1
PB-276,1004,255,2,309,438,2,39,1
PB-277,978,252,0,289,437,0,2,1
PB-278,1277,347,0,448,482,0,2,1
PB-279,1005,255,0,312,438,0,2,1
PB-280,1004,255,1,310,438,0,2,1
