variant,n,tp,tn,fp,fn,precision,recall,f1,fpr,benign_lookalike_fpr,trusted_allowed_fpr,complete_chain_recall,confirmed_chain_recall
Full,776,291,339,39,107,0.881818,0.731156,0.799451,0.103175,0.0,0.325,0.615578,0.61809
Static-only,776,398,306,72,0,0.846809,1.0,0.917051,0.190476,0.173184,0.241667,0.0,0.0
Event-only,776,250,311,67,148,0.788644,0.628141,0.699301,0.177249,0.03352,0.508333,0.0,0.0
No alignment,776,260,335,43,138,0.858086,0.653266,0.741797,0.113757,0.022346,0.325,0.0,0.61809
No policy,776,375,110,268,23,0.583204,0.942211,0.720461,0.708995,0.793296,0.833333,0.0,0.0
