name,skill_id,skill_root,risk_level,risk_level_name,risk_score,severity_label,evidence_strength,root_cause,root_cause_detail
automated-instrumented-debugging,mnt_e_dangerous_skills_automated-instrumented-debugging-skill,/mnt/e/dangerous_skills/automated-instrumented-debugging-skill,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
avnu,mnt_e_dangerous_skills_avnu-skill_skills_avnu,/mnt/e/dangerous_skills/avnu-skill/skills/avnu,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
axim-restdoc-generator,mnt_e_dangerous_skills_gradle-restdoc-generator,/mnt/e/dangerous_skills/gradle-restdoc-generator,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
banana-watermark-remove-skill,mnt_e_dangerous_skills_banana-watermark-remove-skill,/mnt/e/dangerous_skills/banana-watermark-remove-skill,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
beadboard-driver,mnt_e_dangerous_skills_beadboard_skills_beadboard-driver,/mnt/e/dangerous_skills/beadboard/skills/beadboard-driver,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
biomedical-search,mnt_e_dangerous_skills_scientific-skills_skills_biomedical-search,/mnt/e/dangerous_skills/scientific-skills/skills/biomedical-search,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
biorxiv-search,mnt_e_dangerous_skills_scientific-skills_skills_biorxiv-search,/mnt/e/dangerous_skills/scientific-skills/skills/biorxiv-search,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
bloomery,mnt_e_dangerous_skills_bloomery_skills_bloomery,/mnt/e/dangerous_skills/bloomery/skills/bloomery,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
bulkgen,mnt_e_dangerous_skills_bulkgen-skill_bulkgen,/mnt/e/dangerous_skills/bulkgen-skill/bulkgen,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
burner-phone,mnt_e_dangerous_skills_burner-phone,/mnt/e/dangerous_skills/burner-phone,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
capability-evolver,mnt_e_dangerous_skills_evolver,/mnt/e/dangerous_skills/evolver,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
case-feedback-skill,mnt_e_dangerous_skills_zai-coding-plugins_plugins_glm-plan-bug_skills_case-feedback-skill,/mnt/e/dangerous_skills/zai-coding-plugins/plugins/glm-plan-bug/skills/case-feedback-skill,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
catalyst,mnt_e_dangerous_skills_catalyst-core,/mnt/e/dangerous_skills/catalyst-core,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
chain-analyst,mnt_e_dangerous_skills_chain-analyst,/mnt/e/dangerous_skills/chain-analyst,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
chembl-search,mnt_e_dangerous_skills_scientific-skills_skills_chembl-search,/mnt/e/dangerous_skills/scientific-skills/skills/chembl-search,medium,中风险,25,substantial_risk,partial,llm_decision,llm_decision_induced_action
chinese-novelist-skill,mnt_e_dangerous_skills_chinese-novelist-skill,/mnt/e/dangerous_skills/chinese-novelist-skill,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
chisel,mnt_e_dangerous_skills_chisel_skills_chisel,/mnt/e/dangerous_skills/chisel/skills/chisel,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
chrome-bookmark-reader,mnt_e_dangerous_skills_devhelper_skills_chrome-bookmark-reader,/mnt/e/dangerous_skills/devhelper/skills/chrome-bookmark-reader,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
chrome-cdp,mnt_e_dangerous_skills_chrome-cdp-skill_skills_chrome-cdp,/mnt/e/dangerous_skills/chrome-cdp-skill/skills/chrome-cdp,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
citadel-lite,mnt_e_dangerous_skills_citadel-lite,/mnt/e/dangerous_skills/citadel-lite,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
clawpinch,mnt_e_dangerous_skills_clawpinch,/mnt/e/dangerous_skills/clawpinch,medium,中风险,25,substantial_risk,partial,llm_decision,llm_decision_induced_action
clawpulse,mnt_e_dangerous_skills_clawpulse-skill,/mnt/e/dangerous_skills/clawpulse-skill,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
clinical-trials-search,mnt_e_dangerous_skills_scientific-skills_skills_clinical-trials-search,/mnt/e/dangerous_skills/scientific-skills/skills/clinical-trials-search,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
cloudflare-browser,mnt_e_dangerous_skills_moltworker_skills_cloudflare-browser,/mnt/e/dangerous_skills/moltworker/skills/cloudflare-browser,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
cm,mnt_e_dangerous_skills_cass_memory_system,/mnt/e/dangerous_skills/cass_memory_system,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
code-review,mnt_e_dangerous_skills_code-review-plugin_skills_code-review,/mnt/e/dangerous_skills/code-review-plugin/skills/code-review,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
codemap,mnt_e_dangerous_skills_codemap_skills_codemap,/mnt/e/dangerous_skills/codemap/skills/codemap,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
codestyle,mnt_e_dangerous_skills_mcp-codestyle-server_skill_codestyle,/mnt/e/dangerous_skills/mcp-codestyle-server/skill/codestyle,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
comfyui-skill-openclaw,mnt_e_dangerous_skills_comfyui_skills_openclaw,/mnt/e/dangerous_skills/comfyui_skills_openclaw,medium,中风险,25,substantial_risk,partial,llm_decision,llm_decision_induced_action
command-center,mnt_e_dangerous_skills_openclaw-command-center,/mnt/e/dangerous_skills/openclaw-command-center,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
computer-use,mnt_e_dangerous_skills_computer-use,/mnt/e/dangerous_skills/computer-use,medium,中风险,25,substantial_risk,partial,llm_decision,llm_decision_induced_action
config-analyzer,mnt_e_dangerous_skills_skill-scanner_evals_skills_behavioral-analysis_multi-file-exfiltration,/mnt/e/dangerous_skills/skill-scanner/evals/skills/behavioral-analysis/multi-file-exfiltration,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
consciousness-soul-identity,mnt_e_dangerous_skills_neon-soul_skills_consciousness-soul-identity,/mnt/e/dangerous_skills/neon-soul/skills/consciousness-soul-identity,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
content-pipeline,mnt_e_dangerous_skills_content-pipeline,/mnt/e/dangerous_skills/content-pipeline,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
contextkit,mnt_e_dangerous_skills_contextkit,/mnt/e/dangerous_skills/contextkit,medium,中风险,25,substantial_risk,partial,llm_decision,llm_decision_induced_action
creatok-analyze-video,mnt_e_dangerous_skills_creatok-skills_skills_creatok-analyze-video,/mnt/e/dangerous_skills/creatok-skills/skills/creatok-analyze-video,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
creatok-generate-image,mnt_e_dangerous_skills_creatok-skills_skills_creatok-generate-image,/mnt/e/dangerous_skills/creatok-skills/skills/creatok-generate-image,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
creatok-generate-video,mnt_e_dangerous_skills_creatok-skills_skills_creatok-generate-video,/mnt/e/dangerous_skills/creatok-skills/skills/creatok-generate-video,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
creatok-recreate-video,mnt_e_dangerous_skills_creatok-skills_skills_creatok-recreate-video,/mnt/e/dangerous_skills/creatok-skills/skills/creatok-recreate-video,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
crossfit-programmer,mnt_e_dangerous_skills_crossfit-programmer,/mnt/e/dangerous_skills/crossfit-programmer,medium,中风险,25,substantial_risk,partial,llm_decision,llm_decision_induced_action
crypto-nday-analyze,mnt_e_dangerous_skills_crypto-nday-analyze,/mnt/e/dangerous_skills/crypto-nday-analyze,medium,中风险,25,substantial_risk,partial,llm_decision,llm_decision_induced_action
cypher-shell,mnt_e_dangerous_skills_cypher-shell_skills_cypher-shell,/mnt/e/dangerous_skills/cypher-shell/skills/cypher-shell,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
data-analyzer,mnt_e_dangerous_skills_skill-scanner_evals_skills_resource-exhaustion_infinite-loop,/mnt/e/dangerous_skills/skill-scanner/evals/skills/resource-exhaustion/infinite-loop,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
data-exfiltrator,mnt_e_dangerous_skills_skill-scanner_evals_test_skills_malicious_exfiltrator,/mnt/e/dangerous_skills/skill-scanner/evals/test_skills/malicious/exfiltrator,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
data-processor,mnt_e_dangerous_skills_skill-scanner_evals_skills_backdoor_magic-string-trigger,/mnt/e/dangerous_skills/skill-scanner/evals/skills/backdoor/magic-string-trigger,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
data-processor,mnt_e_dangerous_skills_skill-scanner_evals_skills_obfuscation_base64-payload,/mnt/e/dangerous_skills/skill-scanner/evals/skills/obfuscation/base64-payload,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
database-query,mnt_e_dangerous_skills_skill-scanner_evals_skills_sql-injection_database-query,/mnt/e/dangerous_skills/skill-scanner/evals/skills/sql-injection/database-query,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
dcg,mnt_e_dangerous_skills_destructive_command_guard,/mnt/e/dangerous_skills/destructive_command_guard,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
debug,mnt_e_dangerous_skills_debug-skill,/mnt/e/dangerous_skills/debug-skill,medium,中风险,25,substantial_risk,partial,llm_decision,llm_decision_induced_action
