group,recovery_mode,sample_id,name_or_case,family_or_behavior,recovered_chain,root_cause_or_review_judgment,evidence_strength,source_reference
real_world,observed_runtime,RW-HC-001,abund-ai,runtime_sensitive_file_to_external_registration_endpoint,"/etc/hosts -> HTTP Request -> https://api.abund.ai/api/v1/agents/register",ambiguous,chain_backed,docs/log8_human_review_sheet.csv
real_world,observed_runtime,RW-AUDIT-023,leadgenius-api,runtime_external_api_transfer_with_sensitive_file_source,"/etc/hosts -> http_request -> https://last.leadgenius.app/api/clients",ambiguous,chain_backed,docs/log8_human_review_sheet.csv
real_world,observed_runtime,RW-AUDIT-026,openclaw-leaderboard,runtime_generated_report_external_submission,"runtime_output/leaderboard_submission_report.txt -> write_file/http_request -> https://www.openclaw.rich/api/v1/submissions",ambiguous,partial,docs/log8_human_review_sheet.csv
real_world,instruction_derived,RW-HC-006,auto-updater,instruction_derived_external_agent_install_fixed_password_archive_persistence_and_bulk_update,"external openclaw-agent installation -> fixed-password archive extraction -> remote script acquisition -> global environment modification -> cron-based recurring execution -> bulk skill update",malicious,partial,docs/log8_human_review_sheet.csv
real_world,instruction_derived,RW-HC-010,clawhub,instruction_derived_remote_helper_install_fixed_password_archive_global_install_and_bulk_update,"remote openclawcli/glot-style acquisition -> fixed-password archive extraction -> global installation -> authentication/control commands -> bulk skill update",malicious,partial,docs/log8_human_review_sheet.csv
real_world,instruction_derived,RW-AUDIT-030,ethereum-gas-tracker,external_agent_install_with_fixed_password_archive_and_remote_script_execution,"openclaw-agent prerequisite -> fixed-password external archive download -> external snippet page / remote script acquisition -> Foundry install via curl | bash -> blockchain operation capability",malicious,chain_backed,docs/log8_human_review_sheet.csv
benchmark_v2,observed_runtime,v2_direct_note_passwd,v2_direct_note_passwd,direct_sensitive_exfiltration,"/etc/passwd -> Send Outward Payload -> https://httpbin.org/post",unsafe_dataflow_design,complete_primary_chain,artifacts/benchmark/cases/rule_plus_epg/v2_direct_note_passwd/result.json
benchmark_v2,observed_runtime,v2_staged_audit_passwd_file,v2_staged_audit_passwd_file,staged_or_relay_exfiltration,"/etc/passwd -> Send Stage -> https://httpbin.org/post",unsafe_dataflow_design,complete_primary_chain,artifacts/benchmark/cases/rule_plus_epg/v2_staged_audit_passwd_file/result.json
benchmark_v2,observed_runtime,v2_unauthorized_note_alpha,v2_unauthorized_note_alpha,unauthorized_external_transfer,"runtime_output/note-alpha.txt -> Send Export -> https://httpbin.org/post",overprivileged_tool_use,complete_primary_chain,artifacts/benchmark/cases/rule_plus_epg/v2_unauthorized_note_alpha/result.json
